Species	Tissue	Age group	Mean frequency	"Fold difference
(Older/Younger)"	"p-value
(1-sided)"	Significance	"FDR-corr
p-value
(1-sided)"
Mouse	Oocytes	Younger	1.70e-07	1.4	0.03	*	0.05
Mouse	Oocytes	Older	2.45e-07	-	-	-	-
Mouse	Skeletal muscle	Younger	1.55e-07	2.4	7.07e-04	***	2.12e-03
Mouse	Skeletal muscle	Older	3.74e-07	-	-	-	-
Mouse	Brain	Younger	1.15e-07	3.2	3.48e-05	***	3.14e-04
Mouse	Brain	Older	3.63e-07	-	-	-	-
Macaque	Oocytes	Younger	1.24e-07	0.4	0.93	ns	0.93
Macaque	Oocytes	Intermediate 1	7.84e-08	-	-	-	-
Macaque	Oocytes	Intermediate 2	3.01e-07	-	-	-	-
Macaque	Oocytes	Older	4.53e-08	-	-	-	-
Macaque	Skeletal muscle	Younger	3.18e-07	2.3	2.62e-03	**	5.90e-03
Macaque	Skeletal muscle	Intermediate 1	4.92e-07	-	-	-	-
Macaque	Skeletal muscle	Intermediate 2	7.19e-07	-	-	-	-
Macaque	Skeletal muscle	Older	7.44e-07	-	-	-	-
Macaque	Liver	Younger	5.51e-07	4.3	1.75e-04	***	7.87e-04
Macaque	Liver	Intermediate 1	6.82e-07	-	-	-	-
Macaque	Liver	Intermediate 2	1.45e-06	-	-	-	-
Macaque	Liver	Older	2.37e-06	-	-	-	-
Human	Oocytes	Younger	1.51e-07	0.7	0.48	ns	0.72
Human	Oocytes	Intermediate	7.24e-08	-	-	-	-
Human	Oocytes	Older	1.03e-07	-	-	-	-
Human	Saliva	Younger	5.34e-07	0.9	0.60	ns	0.77
Human	Saliva	Intermediate	1.13e-06	-	-	-	-
Human	Saliva	Older	4.62e-07	-	-	-	-
Human	Blood	Younger	5.89e-07	0.5	0.80	ns	0.90
Human	Blood	Intermediate	7.08e-07	-	-	-	-
Human	Blood	Older	2.95e-07	-	-	-	-
