Species	Tissue	Age group	Mean frequency	"Fold difference
(Older/Younger)"	"p-value
(1-sided)"	Significance	"FDR-corr
p-value
(1-sided)"
Mouse	Oocytes	Younger	1.24e-07	1.2	0.13	ns	0.23
Mouse	Oocytes	Older	1.54e-07	-	-	-	-
Mouse	Skeletal muscle	Younger	4.19e-08	4.9	6.51e-04	***	1.95e-03
Mouse	Skeletal muscle	Older	2.07e-07	-	-	-	-
Mouse	Brain	Younger	2.41e-08	7.6	9.14e-05	***	8.22e-04
Mouse	Brain	Older	1.83e-07	-	-	-	-
Macaque	Oocytes	Younger	9.24e-08	0.4	0.92	ns	0.92
Macaque	Oocytes	Intermediate 1	3.67e-08	-	-	-	-
Macaque	Oocytes	Intermediate 2	1.41e-07	-	-	-	-
Macaque	Oocytes	Older	3.80e-08	-	-	-	-
Macaque	Skeletal muscle	Younger	1.74e-07	2.4	5.77e-03	**	0.01
Macaque	Skeletal muscle	Intermediate 1	2.44e-07	-	-	-	-
Macaque	Skeletal muscle	Intermediate 2	3.89e-07	-	-	-	-
Macaque	Skeletal muscle	Older	4.18e-07	-	-	-	-
Macaque	Liver	Younger	2.53e-07	4.7	3.50e-04	***	1.57e-03
Macaque	Liver	Intermediate 1	3.55e-07	-	-	-	-
Macaque	Liver	Intermediate 2	7.57e-07	-	-	-	-
Macaque	Liver	Older	1.19e-06	-	-	-	-
Human	Oocytes	Younger	8.79e-08	0.7	0.56	ns	0.84
Human	Oocytes	Intermediate	4.78e-08	-	-	-	-
Human	Oocytes	Older	6.13e-08	-	-	-	-
Human	Saliva	Younger	3.72e-07	0.6	0.77	ns	0.90
Human	Saliva	Intermediate	7.21e-07	-	-	-	-
Human	Saliva	Older	2.31e-07	-	-	-	-
Human	Blood	Younger	4.03e-07	0.5	0.80	ns	0.90
Human	Blood	Intermediate	3.54e-07	-	-	-	-
Human	Blood	Older	2.06e-07	-	-	-	-
