Species	Tissue	Mutation type	Age group	Mean frequency	"Fold difference
(Older/Younger)"	p-value (1-sided)	Significance	"FDR-corr p-value
(1-sided)"
Mouse	Oocytes	Deletion	Younger	1.26e-07	1.3	0.07	ns	0.12
Mouse	Oocytes	-	Older	1.64e-07	-	-	-	-
Mouse	Oocytes	Insertion	Younger	4.43e-08	1.8	0.07	ns	0.22
Mouse	Oocytes	-	Older	8.03e-08	-	-	-	-
Mouse	Skeletal muscle	Deletion	Younger	9.98e-08	3.1	1.66e-03	**	4.98e-03
Mouse	Skeletal muscle	-	Older	3.07e-07	-	-	-	-
Mouse	Skeletal muscle	Insertion	Younger	5.52e-08	1.2	0.37	ns	0.64
Mouse	Skeletal muscle	-	Older	6.72e-08	-	-	-	-
Mouse	Brain	Deletion	Younger	6.81e-08	4.5	1.95e-05	***	1.76e-04
Mouse	Brain	-	Older	3.06e-07	-	-	-	-
Mouse	Brain	Insertion	Younger	4.68e-08	1.2	0.42	ns	0.64
Mouse	Brain	-	Older	5.77e-08	-	-	-	-
Macaque	Oocytes	Deletion	Younger	3.21e-08	0.7	0.88	ns	0.88
Macaque	Oocytes	-	Intermediate 1	5.26e-08	-	-	-	-
Macaque	Oocytes	-	Intermediate 2	1.87e-07	-	-	-	-
Macaque	Oocytes	-	Older	2.12e-08	-	-	-	-
Macaque	Oocytes	Insertion	Younger	9.15e-08	0.3	0.95	ns	0.95
Macaque	Oocytes	-	Intermediate 1	2.58e-08	-	-	-	-
Macaque	Oocytes	-	Intermediate 2	1.13e-07	-	-	-	-
Macaque	Oocytes	-	Older	2.41e-08	-	-	-	-
Macaque	Skeletal muscle	Deletion	Younger	1.74e-07	2.5	2.62e-03	**	5.90e-03
Macaque	Skeletal muscle	-	Intermediate 1	3.00e-07	-	-	-	-
Macaque	Skeletal muscle	-	Intermediate 2	4.41e-07	-	-	-	-
Macaque	Skeletal muscle	-	Older	4.31e-07	-	-	-	-
Macaque	Skeletal muscle	Insertion	Younger	1.44e-07	2.2	1.66e-03	**	7.47e-03
Macaque	Skeletal muscle	-	Intermediate 1	1.92e-07	-	-	-	-
Macaque	Skeletal muscle	-	Intermediate 2	2.78e-07	-	-	-	-
Macaque	Skeletal muscle	-	Older	3.13e-07	-	-	-	-
Macaque	Liver	Deletion	Younger	3.77e-07	4.9	1.75e-04	***	7.87e-04
Macaque	Liver	-	Intermediate 1	4.67e-07	-	-	-	-
Macaque	Liver	-	Intermediate 2	1.11e-06	-	-	-	-
Macaque	Liver	-	Older	1.85e-06	-	-	-	-
Macaque	Liver	Insertion	Younger	1.74e-07	3.0	1.75e-04	***	1.57e-03
Macaque	Liver	-	Intermediate 1	2.15e-07	-	-	-	-
Macaque	Liver	-	Intermediate 2	3.33e-07	-	-	-	-
Macaque	Liver	-	Older	5.19e-07	-	-	-	-
Human	Oocytes	Deletion	Younger	7.11e-08	0.6	0.32	ns	0.48
Human	Oocytes	-	Intermediate	3.86e-08	-	-	-	-
Human	Oocytes	-	Older	4.48e-08	-	-	-	-
Human	Oocytes	Insertion	Younger	7.98e-08	0.7	0.48	ns	0.64
Human	Oocytes	-	Intermediate	3.39e-08	-	-	-	-
Human	Oocytes	-	Older	5.79e-08	-	-	-	-
Human	Saliva	Deletion	Younger	4.53e-07	0.7	0.60	ns	0.73
Human	Saliva	-	Intermediate	6.18e-07	-	-	-	-
Human	Saliva	-	Older	3.08e-07	-	-	-	-
Human	Saliva	Insertion	Younger	8.09e-08	1.9	0.50	ns	0.64
Human	Saliva	-	Intermediate	5.15e-07	-	-	-	-
Human	Saliva	-	Older	1.54e-07	-	-	-	-
Human	Blood	Deletion	Younger	2.17e-07	0.8	0.65	ns	0.73
Human	Blood	-	Intermediate	2.36e-07	-	-	-	-
Human	Blood	-	Older	1.77e-07	-	-	-	-
Human	Blood	Insertion	Younger	3.72e-07	0.3	0.88	ns	0.95
Human	Blood	-	Intermediate	4.72e-07	-	-	-	-
Human	Blood	-	Older	1.18e-07	-	-	-	-
