Species	Tissue	Mutation type	Age group	Mean frequency	"Fold difference
(Older/Younger)"	p-value (1-sided)	Significance	"FDR-corr p-value
(1-sided)"
Mouse	Oocytes	Deletion	Younger	1.04e-07	0.9	0.18	ns	0.33
Mouse	Oocytes	-	Older	9.29e-08	-	-	-	-
Mouse	Oocytes	Insertion	Younger	1.99e-08	3.1	5.15e-03	**	0.03
Mouse	Oocytes	-	Older	6.10e-08	-	-	-	-
Mouse	Skeletal muscle	Deletion	Younger	2.95e-08	6.0	1.19e-04	***	7.87e-04
Mouse	Skeletal muscle	-	Older	1.78e-07	-	-	-	-
Mouse	Skeletal muscle	Insertion	Younger	1.25e-08	2.3	0.15	ns	0.23
Mouse	Skeletal muscle	-	Older	2.88e-08	-	-	-	-
Mouse	Brain	Deletion	Younger	1.79e-08	8.7	5.39e-04	***	1.62e-03
Mouse	Brain	-	Older	1.56e-07	-	-	-	-
Mouse	Brain	Insertion	Younger	6.23e-09	4.4	0.06	ns	0.13
Mouse	Brain	-	Older	2.73e-08	-	-	-	-
Macaque	Oocytes	Deletion	Younger	2.88e-08	0.7	0.88	ns	0.88
Macaque	Oocytes	-	Intermediate 1	1.99e-08	-	-	-	-
Macaque	Oocytes	-	Intermediate 2	5.83e-08	-	-	-	-
Macaque	Oocytes	-	Older	1.93e-08	-	-	-	-
Macaque	Oocytes	Insertion	Younger	6.36e-08	0.3	0.90	ns	0.90
Macaque	Oocytes	-	Intermediate 1	1.67e-08	-	-	-	-
Macaque	Oocytes	-	Intermediate 2	8.23e-08	-	-	-	-
Macaque	Oocytes	-	Older	1.87e-08	-	-	-	-
Macaque	Skeletal muscle	Deletion	Younger	9.93e-08	2.6	2.62e-03	**	5.90e-03
Macaque	Skeletal muscle	-	Intermediate 1	1.42e-07	-	-	-	-
Macaque	Skeletal muscle	-	Intermediate 2	2.50e-07	-	-	-	-
Macaque	Skeletal muscle	-	Older	2.59e-07	-	-	-	-
Macaque	Skeletal muscle	Insertion	Younger	7.42e-08	2.1	5.77e-03	**	0.03
Macaque	Skeletal muscle	-	Intermediate 1	1.02e-07	-	-	-	-
Macaque	Skeletal muscle	-	Intermediate 2	1.39e-07	-	-	-	-
Macaque	Skeletal muscle	-	Older	1.59e-07	-	-	-	-
Macaque	Liver	Deletion	Younger	2.06e-07	5.1	1.75e-04	***	7.87e-04
Macaque	Liver	-	Intermediate 1	2.74e-07	-	-	-	-
Macaque	Liver	-	Intermediate 2	6.15e-07	-	-	-	-
Macaque	Liver	-	Older	1.04e-06	-	-	-	-
Macaque	Liver	Insertion	Younger	4.73e-08	3.1	0.02	*	0.05
Macaque	Liver	-	Intermediate 1	8.06e-08	-	-	-	-
Macaque	Liver	-	Intermediate 2	1.42e-07	-	-	-	-
Macaque	Liver	-	Older	1.45e-07	-	-	-	-
Human	Oocytes	Deletion	Younger	5.52e-08	0.5	0.68	ns	0.87
Human	Oocytes	-	Intermediate	3.22e-08	-	-	-	-
Human	Oocytes	-	Older	2.68e-08	-	-	-	-
Human	Oocytes	Insertion	Younger	3.27e-08	1.1	0.25	ns	0.32
Human	Oocytes	-	Intermediate	1.55e-08	-	-	-	-
Human	Oocytes	-	Older	3.45e-08	-	-	-	-
Human	Saliva	Deletion	Younger	3.72e-07	0.4	0.77	ns	0.87
Human	Saliva	-	Intermediate	5.15e-07	-	-	-	-
Human	Saliva	-	Older	1.54e-07	-	-	-	-
Human	Saliva	Insertion	Younger	0.00e+00	N/A	0.14	ns	0.23
Human	Saliva	-	Intermediate	2.06e-07	-	-	-	-
Human	Saliva	-	Older	7.71e-08	-	-	-	-
Human	Blood	Deletion	Younger	2.17e-07	0.7	0.65	ns	0.87
Human	Blood	-	Intermediate	1.18e-07	-	-	-	-
Human	Blood	-	Older	1.47e-07	-	-	-	-
Human	Blood	Insertion	Younger	1.86e-07	0.3	0.88	ns	0.90
Human	Blood	-	Intermediate	2.36e-07	-	-	-	-
Human	Blood	-	Older	5.90e-08	-	-	-	-
