Species	Tissue	Mutation type	Age group	Mean frequency	"Fold difference
(Older/Younger)"	p-value (1-sided)	Significance	"FDR-corr p-value
(1-sided)"
Mouse	Oocytes	Deletion	Younger	2.19e-08	3.3	1.91e-03	**	8.59e-03
Mouse	Oocytes	-	Older	7.15e-08	-	-	-	-
Mouse	Oocytes	Insertion	Younger	2.43e-08	0.8	0.64	ns	0.88
Mouse	Oocytes	-	Older	1.92e-08	-	-	-	-
Mouse	Skeletal muscle	Deletion	Younger	7.03e-08	1.8	0.04	*	0.10
Mouse	Skeletal muscle	-	Older	1.29e-07	-	-	-	-
Mouse	Skeletal muscle	Insertion	Younger	4.27e-08	0.9	0.59	ns	0.88
Mouse	Skeletal muscle	-	Older	3.85e-08	-	-	-	-
Mouse	Brain	Deletion	Younger	5.02e-08	3.0	5.97e-03	**	0.02
Mouse	Brain	-	Older	1.50e-07	-	-	-	-
Mouse	Brain	Insertion	Younger	4.05e-08	0.7	0.67	ns	0.88
Mouse	Brain	-	Older	3.04e-08	-	-	-	-
Macaque	Oocytes	Deletion	Younger	3.32e-09	0.6	0.73	ns	0.73
Macaque	Oocytes	-	Intermediate 1	3.26e-08	-	-	-	-
Macaque	Oocytes	-	Intermediate 2	1.29e-07	-	-	-	-
Macaque	Oocytes	-	Older	1.85e-09	-	-	-	-
Macaque	Oocytes	Insertion	Younger	2.79e-08	0.2	0.85	ns	0.88
Macaque	Oocytes	-	Intermediate 1	9.07e-09	-	-	-	-
Macaque	Oocytes	-	Intermediate 2	3.12e-08	-	-	-	-
Macaque	Oocytes	-	Older	5.43e-09	-	-	-	-
Macaque	Skeletal muscle	Deletion	Younger	7.44e-08	2.3	0.15	ns	0.27
Macaque	Skeletal muscle	-	Intermediate 1	1.58e-07	-	-	-	-
Macaque	Skeletal muscle	-	Intermediate 2	1.91e-07	-	-	-	-
Macaque	Skeletal muscle	-	Older	1.72e-07	-	-	-	-
Macaque	Skeletal muscle	Insertion	Younger	7.00e-08	2.2	3.93e-03	**	0.02
Macaque	Skeletal muscle	-	Intermediate 1	9.02e-08	-	-	-	-
Macaque	Skeletal muscle	-	Intermediate 2	1.40e-07	-	-	-	-
Macaque	Skeletal muscle	-	Older	1.53e-07	-	-	-	-
Macaque	Liver	Deletion	Younger	1.71e-07	4.7	3.50e-04	***	3.15e-03
Macaque	Liver	-	Intermediate 1	1.93e-07	-	-	-	-
Macaque	Liver	-	Intermediate 2	4.99e-07	-	-	-	-
Macaque	Liver	-	Older	8.06e-07	-	-	-	-
Macaque	Liver	Insertion	Younger	1.27e-07	2.9	8.74e-05	***	7.87e-04
Macaque	Liver	-	Intermediate 1	1.34e-07	-	-	-	-
Macaque	Liver	-	Intermediate 2	1.91e-07	-	-	-	-
Macaque	Liver	-	Older	3.75e-07	-	-	-	-
Human	Oocytes	Deletion	Younger	1.59e-08	1.1	0.29	ns	0.38
Human	Oocytes	-	Intermediate	6.31e-09	-	-	-	-
Human	Oocytes	-	Older	1.81e-08	-	-	-	-
Human	Oocytes	Insertion	Younger	4.70e-08	0.5	0.72	ns	0.88
Human	Oocytes	-	Intermediate	1.84e-08	-	-	-	-
Human	Oocytes	-	Older	2.34e-08	-	-	-	-
Human	Saliva	Deletion	Younger	8.09e-08	1.9	0.50	ns	0.56
Human	Saliva	-	Intermediate	1.03e-07	-	-	-	-
Human	Saliva	-	Older	1.54e-07	-	-	-	-
Human	Saliva	Insertion	Younger	8.09e-08	1.0	0.50	ns	0.88
Human	Saliva	-	Intermediate	3.09e-07	-	-	-	-
Human	Saliva	-	Older	7.71e-08	-	-	-	-
Human	Blood	Deletion	Younger	0.00e+00	N/A	0.23	ns	0.34
Human	Blood	-	Intermediate	1.18e-07	-	-	-	-
Human	Blood	-	Older	2.95e-08	-	-	-	-
Human	Blood	Insertion	Younger	1.86e-07	0.3	0.88	ns	0.88
Human	Blood	-	Intermediate	2.36e-07	-	-	-	-
Human	Blood	-	Older	5.90e-08	-	-	-	-
