Species	Tissue	Region	Mean frequency	"Fold difference
means"	"Median
frequency"	"Fold difference
medians"	"p-value
(1-sided)"	Significance	"FDR-corr
p-value
(1-sided)"
Mouse	Oocytes	D-loop	2.69e-07	2.1	0.00e+00	0.0	0.98	ns	1.00
Mouse	Oocytes	non-D-loop	1.26e-07	-	1.00e-07	-	-	-	-
Mouse	Skeletal muscle	D-loop	9.13e-08	1.2	0.00e+00	0.0	1.00	ns	1.00
Mouse	Skeletal muscle	non-D-loop	7.78e-08	-	3.88e-08	-	-	-	-
Mouse	Brain	D-loop	1.68e-07	3.2	0.00e+00	N/A	0.93	ns	1.00
Mouse	Brain	non-D-loop	5.32e-08	-	0.00e+00	-	-	-	-
Macaque	Oocytes	D-loop	1.08e-07	1.5	0.00e+00	0.0	0.85	ns	1.00
Macaque	Oocytes	non-D-loop	7.35e-08	-	2.84e-08	-	-	-	-
Macaque	Skeletal muscle	D-loop	3.72e-07	1.3	2.86e-07	1.2	0.59	ns	1.00
Macaque	Skeletal muscle	non-D-loop	2.92e-07	-	2.40e-07	-	-	-	-
Macaque	Liver	D-loop	6.06e-07	1.0	3.87e-07	0.7	0.93	ns	1.00
Macaque	Liver	non-D-loop	6.13e-07	-	5.38e-07	-	-	-	-
Human	Oocytes	D-loop	1.81e-07	3.1	0.00e+00	0.0	0.66	ns	1.00
Human	Oocytes	non-D-loop	5.90e-08	-	3.66e-08	-	-	-	-
Human	Saliva	D-loop	1.01e-06	3.0	0.00e+00	0.0	0.69	ns	1.00
Human	Saliva	non-D-loop	3.36e-07	-	3.31e-07	-	-	-	-
Human	Blood	D-loop	8.15e-07	2.9	0.00e+00	N/A	0.73	ns	1.00
Human	Blood	non-D-loop	2.78e-07	-	0.00e+00	-	-	-	-
